Song Name,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
"000002.mp3,""""""rgb(200, 100, 50)"""""",""""""rgb(180, 80, 30)"""""",""""""rgb(160, 70, 20)"""""",""""""rgb(190, 110, 40)"""""",""""""rgb(150, 85, 35)"""""""
"000005.mp3,""""""rgb(255, 102, 35)"""""",""""""rgb(170, 40, 10)"""""",""""""rgb(150, 100, 60)"""""",""""""rgb(255, 160, 50)"""""",""""""rgb(255, 150, 50)"""""""
"000010.mp3,""""""rgb(230, 50, 30)"""""",""""""rgb(40, 60, 80)"""""",""""""rgb(100, 150, 100)"""""",""""""rgb(180, 120, 60)"""""",""""""rgb(200, 100, 40)"""""""
"000140.mp3,""""""rgb(120, 180, 60)"""""",""""""rgb(180, 120, 60)"""""",""""""rgb(120, 180, 60)"""""",""""""rgb(150, 120, 90)"""""",""""""rgb(120, 150, 90)"""""""
"000141.mp3,""""""rgb(150, 180, 100)"""""",""""""rgb(160, 190, 110)"""""",""""""rgb(120, 170, 80)"""""",""""""rgb(140, 160, 60)"""""",""""""rgb(130, 150, 50)"""""""
"000148.mp3,""""""rgb(255, 30, 30)"""""",""""""rgb(255, 50, 30)"""""",""""""rgb(30, 30, 255)"""""",""""""rgb(255, 30, 30)"""""",""""""rgb(255, 30, 30)"""""""
"000182.mp3,""""""rgb(255, 100, 0)"""""",""""""rgb(255, 150, 0)"""""",""""""rgb(255, 170, 0)"""""",""""""rgb(255, 180, 0)"""""",""""""rgb(128, 128, 128)"""""""
"000190.mp3,""""""rgb(10, 150, 150)"""""",""""""rgb(50, 100, 100)"""""",""""""rgb(150, 150, 50)"""""",""""""rgb(150, 100, 50)"""""",""""""rgb(100, 150, 50)"""""""
"000193.mp3,""""""rgb(120, 180, 50)"""""",""""""rgb(140, 160, 110)"""""",""""""rgb(30, 60, 150)"""""",""""""rgb(160, 170, 80)"""""",""""""rgb(130, 150, 60)"""""""
"000194.mp3,""""""rgb(120, 180, 60)"""""",""""""rgb(150, 130, 80)"""""",""""""rgb(80, 50, 120)"""""",""""""rgb(100, 140, 110)"""""",""""""rgb(140, 160, 80)"""""""
"000197.mp3,""""""rgb(10, 20, 80)"""""",""""""rgb(200, 150, 40)"""""",""""""rgb(150, 200, 100)"""""",""""""rgb(30, 50, 120)"""""",""""""rgb(10, 10, 10)"""""""
"000200.mp3,""""""rgb(10, 10, 10)"""""",""""""rgb(15, 20, 25)"""""",""""""rgb(15, 20, 25)"""""",""""""rgb(10, 10, 10)"""""",""""""rgb(15, 20, 25)"""""""
"000203.mp3,""""""rgb(120, 180, 100)"""""",""""""rgb(130, 170, 90)"""""",""""""rgb(200, 150, 80)"""""",""""""rgb(140, 160, 95)"""""",""""""rgb(125, 175, 95)"""""""
